asap1_id,Region,Rain,Drought,Country,Continent,name1_shr,km2_tot,km2_crop,km2_range,aezmedian
1,Madre de Dios,0.0,0.0,Peru,South America,Madre de Dios,84001.0,0.0,174.0,
2,Moquegua,7.0,4.0,Peru,South America,Moquegua,15752.0,213.0,1020.0,
3,Notio Aigaio,12.0,6.0,Greece,Europe,Notio Aigaio,2837.0,841.0,850.0,
4,Quinara,0.0,0.0,Guinea-Bissau,Africa,Quinara,2573.0,89.0,0.0,313.0
5,Nakuru,12.0,6.0,Kenya,Africa,Nakuru,7474.0,3634.0,2456.0,323.0
6,Northern,0.0,0.0,Sudan,Africa,Northern,363339.0,1011.0,268.0,311.0
7,Ostgronland,0.0,0.0,Greenland,North America,Ostgronland,1038062.0,0.0,0.0,
8,Azuay,18.0,0.0,Ecuador,South America,Azuay,8324.0,1315.0,3787.0,
9,Taninthayi,39.0,0.0,Myanmar,Asia,Taninthayi,39035.0,1756.0,78.0,
10,Bolivar,16.0,0.0,Ecuador,South America,Bolivar,3944.0,578.0,1097.0,
11,Canar,12.0,0.0,Ecuador,South America,Canar,3146.0,738.0,1143.0,
12,Hukusima,23.0,0.0,Japan,Asia,Hukusima,13811.0,2569.0,63.0,
13,Guelma,9.0,6.0,Algeria,Africa,Guelma,3686.0,2163.0,2356.0,213.0
14,Rondonia,7.0,0.0,Brazil,South America,Rondonia,237831.0,24324.0,14246.0,
16,Mila,5.0,8.0,Algeria,Africa,Mila,3505.0,1626.0,2328.0,223.0
17,Magallanes,0.0,0.0,Chile,South America,Magallanes,120819.0,0.0,31338.0,
18,Skikda,5.0,9.0,Algeria,Africa,Skikda,4120.0,1639.0,2663.0,213.0
19,Zanjan,20.0,6.0,Iran,Asia,Zanjan,21833.0,3545.0,6452.0,
20,Nimba,14.0,2.0,Liberia,Africa,Nimba,11518.0,744.0,4066.0,314.0
21,Zambezi,10.0,19.0,Namibia,Africa,Caprivi,14493.0,324.0,7434.0,312.0
22,Tamaulipas,13.0,9.0,Mexico,North America,Tamaulipas,78807.0,45845.0,8392.0,
23,Bong,11.0,1.0,Liberia,Africa,Bong,8652.0,659.0,4794.0,314.0
24,Tubruq (tobruk),2.0,4.0,Libya,Africa,Tubruq (tobruk),79770.0,947.0,3.0,211.0
25,Sindh,2.0,0.0,Pakistan,Asia,Sindh,134657.0,51612.0,1187.0,
26,Djibouti,0.0,0.0,Djibouti,Africa,Djibouti,21663.0,0.0,11889.0,311.0
27,Paktika,12.0,10.0,Afghanistan,Asia,Paktika,19078.0,1529.0,16626.0,
28,Setif,5.0,10.0,Algeria,Africa,Setif,6665.0,2354.0,5058.0,223.0
29,Hukuoka,12.0,0.0,Japan,Asia,Hukuoka,4893.0,2066.0,220.0,
30,Distrito Capital,0.0,0.0,Venezuela,South America,Distrito Capital,327.0,0.0,160.0,
31,Banadir,0.0,0.0,Somalia,Africa,Banadir,213.0,24.0,125.0,311.0
32,Southern,11.0,0.0,Sri Lanka,Asia,Southern,5550.0,2338.0,11.0,
33,Georgia,6.0,0.0,USA,North America,Georgia,151459.0,15549.0,1493.0,
34,Orxon,0.0,0.0,Mongolia,Asia,Orxon,841.0,5.0,577.0,
35,Rivercess,0.0,0.0,Liberia,Africa,Rivercess,5556.0,4.0,302.0,314.0
36,Portugal,15.0,25.0,Portugal,Europe,Portugal,91283.0,41260.0,7544.0,
37,California,6.0,0.0,USA,North America,California,408989.0,31645.0,97960.0,
38,Siaya,13.0,3.0,Kenya,Africa,Siaya,2440.0,2194.0,106.0,324.0
40,Loja,2.0,0.0,Ecuador,South America,Loja,10998.0,2221.0,986.0,
41,Keiyo-Marakwet,12.0,0.0,Kenya,Africa,Keiyo-Marakwet,3015.0,935.0,978.0,324.0
42,Umm AL Quwain,0.0,0.0,U.A.E.,Asia,Umm AL Quwain,689.0,5.0,0.0,
43,Faroe Islands,0.0,0.0,Faroe Islands,Europe,Faroe Islands,662.0,0.0,0.0,
45,Paktya,32.0,6.0,Afghanistan,Asia,Paktya,5281.0,745.0,4645.0,
46,Eastern,9.0,0.0,Ghana,Africa,Eastern,18980.0,12211.0,284.0,314.0
47,Amazonas,15.0,0.0,Brazil,South America,Amazonas,1569843.0,1524.0,4318.0,
48,Binh Phuoc,16.0,0.0,Viet Nam,Asia,Binh Phuoc,6877.0,5479.0,95.0,
49,Zamora Chinchipe,0.0,0.0,Ecuador,South America,Zamora Chinchipe,10868.0,85.0,501.0,
50,Bahia,13.0,13.0,Brazil,South America,Bahia,564002.0,87361.0,176813.0,
51,Chagang-do,12.0,0.0,North Korea,Asia,Chagang-do,16725.0,503.0,140.0,
52,Bihar,20.0,2.0,India,Asia,Bihar,94281.0,89980.0,2743.0,
53,Cortes,15.0,0.0,Honduras,North America,Cortes,3934.0,427.0,487.0,
54,Relizane,13.0,8.0,Algeria,Africa,Relizane,4873.0,2512.0,3034.0,212.0
55,Ionioi Nisoi,22.0,0.0,Greece,Europe,Ionioi Nisoi,2095.0,1043.0,430.0,
56,Far West,21.0,2.0,Nepal,Asia,Far West,19712.0,3684.0,2028.0,
57,South Australia,5.0,13.0,Australia,Oceania,South Australia,983955.0,51169.0,78589.0,
58,Tlemcen,11.0,8.0,Algeria,Africa,Tlemcen,9001.0,3536.0,3566.0,222.0
59,Apurímac,6.0,0.0,Peru,South America,ApurÃ­mac,21102.0,1290.0,8892.0,
60,Androy,20.0,21.0,Madagascar,Africa,Androy,18970.0,3358.0,13198.0,314.0
61,Terengganu,6.0,0.0,Malaysia,Asia,Terengganu,12972.0,3329.0,0.0,
62,La Rioja,14.0,4.0,Spain,Europe,La Rioja,5048.0,1848.0,985.0,
63,Lebanon,6.0,0.0,Lebanon,Asia,Lebanon,10136.0,3103.0,2241.0,
65,Cuvette Ovest,0.0,0.0,Congo,Africa,Cuvette Ovest,24608.0,159.0,3132.0,314.0
66,Tocantins,6.0,0.0,Brazil,South America,Tocantins,277296.0,11545.0,45005.0,
67,Sicilia,7.0,0.0,Italy,Europe,Sicilia,25666.0,17288.0,5395.0,
69,Trentino,7.0,0.0,Italy,Europe,Trentino,13670.0,1130.0,6076.0,
71,Khenchela,5.0,3.0,Algeria,Africa,Khenchela,9574.0,2900.0,3300.0,222.0
72,Nana-Gribizi,0.0,0.0,Central Africa,Africa,Nana-Gribizi,19668.0,142.0,14534.0,313.0
73,N. De Santander,17.0,0.0,Colombia,South America,N. De Santander,22807.0,749.0,3847.0,
74,Putumayo,0.0,0.0,Colombia,South America,Putumayo,23809.0,435.0,320.0,
75,Zanzan,12.0,0.0,Côte d'Ivoire,Africa,Zanzan,38138.0,7275.0,13890.0,313.0
76,Bas Sassandra,14.0,0.0,Côte d'Ivoire,Africa,Bas Sassandra,28041.0,4403.0,155.0,314.0
77,Ouham Pendé,6.0,0.0,Central Africa,Africa,Ouham PendÃ©,31725.0,1302.0,17793.0,313.0
78,Meta,11.0,0.0,Colombia,South America,Meta,85326.0,1244.0,37240.0,
79,Narino,15.0,0.0,Colombia,South America,Narino,31676.0,4281.0,3551.0,
81,,,,,,Hungary,93119.0,54770.0,29079.0,
82,,,,,,Unit unavailable,11234.0,0.0,1617.0,
83,Kuril islands,0.0,0.0,Kuril islands,Asia,Kuril islands,4899.0,0.0,0.0,
84,Kuwait,0.0,0.0,Kuwait,Asia,Kuwait,17235.0,65.0,0.0,
85,Umbria,19.0,0.0,Italy,Europe,Umbria,8450.0,4215.0,1135.0,
86,Vaupes,7.0,0.0,Colombia,South America,Vaupes,53454.0,5.0,29.0,
87,Sucumbios,2.0,0.0,Ecuador,South America,Sucumbios,17992.0,1863.0,133.0,
88,Cuvette,0.0,0.0,Congo,Africa,Cuvette,44652.0,186.0,5367.0,314.0
89,Latvia,3.0,3.0,Latvia,Europe,Latvia,64563.0,19529.0,24529.0,
90,Republika Srpska,3.0,0.0,Bosnia Herzeg.,Europe,Republika Srpska,24777.0,8366.0,6287.0,
91,Central,12.0,22.0,Botswana,Africa,Central,146717.0,4481.0,79843.0,311.0
92,Plateaux,0.0,0.0,Congo,Africa,Plateaux,39728.0,793.0,22273.0,314.0
93,Oum El Bouaghi,4.0,6.0,Algeria,Africa,Oum El Bouaghi,6261.0,4358.0,2156.0,223.0
94,Sangha,0.0,0.0,Congo,Africa,Sangha,57694.0,110.0,4.0,314.0
